Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,38.724998,40.0,38.724998,39.700001,29.462595,212976.0
2002-08-13,39.75,40.387501,38.875,39.162498,29.063702,153576.0
2002-08-14,39.25,39.25,35.724998,36.462502,27.059956,822776.0
2002-08-15,36.462502,36.462502,36.462502,36.462502,27.059956,0.0
2002-08-16,36.275002,38.0,35.75,36.375,26.995008,811856.0
2002-08-19,36.674999,36.674999,35.137501,35.474998,26.327099,205880.0
2002-08-20,35.724998,38.724998,35.487499,36.462502,27.059956,3773624.0
2002-08-21,38.474998,39.200001,36.525002,38.25,28.386517,3011064.0
2002-08-22,39.512501,41.575001,39.3125,39.900002,29.611036,6732480.0
2002-08-23,40.25,43.625,39.762501,42.299999,31.392143,4841672.0
2002-08-26,42.974998,43.25,41.8125,42.150002,31.280811,2576912.0
2002-08-27,42.5,44.25,40.75,41.099998,30.501593,3694224.0
2002-08-28,40.974998,41.599998,40.287498,41.137501,30.529425,1674960.0
2002-08-29,40.887501,41.875,40.75,41.137501,30.529425,1236544.0
2002-08-30,41.262501,45.125,41.25,44.049999,32.690853,3762384.0
2002-09-02,44.75,45.974998,44.049999,44.5,33.02483,2389568.0
2002-09-03,44.75,44.9375,42.0,42.412498,31.475636,986784.0
2002-09-04,41.875,43.75,41.387501,43.337502,32.162117,1449856.0
2002-09-05,44.662498,44.862499,42.5,43.075001,31.967293,1061360.0
2002-09-06,43.25,43.25,41.012501,41.474998,30.779882,907472.0
2002-09-09,39.5,42.6875,39.5,40.9375,30.380987,880848.0
2002-09-10,40.9375,40.9375,40.9375,40.9375,30.380987,0.0
2002-09-11,41.162498,42.700001,41.162498,41.974998,31.150955,635936.0
2002-09-12,42.487499,43.224998,41.900002,42.1875,31.308653,781968.0
2002-09-13,40.712502,42.224998,40.637501,40.987499,30.418087,338264.0
2002-09-16,41.375,41.599998,39.875,40.1875,29.82439,288592.0
2002-09-17,40.912498,41.625,40.775002,41.362499,30.69639,462952.0
2002-09-18,41.125,41.25,39.75,40.087502,29.750179,315432.0
2002-09-19,39.75,41.075001,39.25,39.75,29.499699,490848.0
2002-09-20,38.325001,39.674999,38.162498,39.099998,29.017315,501072.0
2002-09-23,39.375,39.474998,38.275002,38.4375,28.525658,248504.0
2002-09-24,38.299999,38.299999,36.724998,37.137501,27.560902,267912.0
2002-09-25,36.275002,37.75,36.0,37.424999,27.77425,379544.0
2002-09-26,38.200001,38.612499,37.75,38.012501,28.210247,178136.0
2002-09-27,37.887501,39.0,37.887501,38.474998,28.553493,206288.0
2002-09-30,37.887501,38.474998,36.275002,37.075001,27.514509,202232.0
2002-10-01,37.25,37.75,36.125,36.762501,27.282589,240192.0
2002-10-02,36.762501,36.762501,36.762501,36.762501,27.282589,0.0
2002-10-03,37.25,39.75,37.25,37.75,28.015438,673264.0
2002-10-04,38.25,38.362499,37.125,37.512501,27.839186,258296.0
2002-10-07,37.762501,38.0,37.025002,37.349998,27.718588,110976.0
2002-10-08,37.462502,38.724998,37.25,38.362499,28.46999,227352.0
2002-10-09,38.5,39.112499,37.0625,37.387501,27.746422,277040.0
2002-10-10,38.5,38.5,36.637501,37.424999,27.77425,173224.0
2002-10-11,38.474998,38.9375,38.112499,38.212502,28.358692,192536.0
2002-10-14,38.924999,39.0,37.575001,37.9375,28.154598,152744.0
2002-10-15,37.9375,37.9375,37.9375,37.9375,28.154598,0.0
2002-10-16,42.775002,42.775002,37.775002,38.012501,28.210247,247760.0
2002-10-17,38.25,38.25,37.525002,38.012501,28.210247,144512.0
2002-10-18,38.75,39.924999,38.287498,38.8125,28.803965,512312.0
2002-10-21,39.724998,40.737499,39.25,39.412498,29.249228,646296.0
2002-10-22,39.75,39.75,37.75,37.987499,28.191713,229384.0
2002-10-23,38.25,38.700001,37.525002,37.8125,28.061823,153320.0
2002-10-24,38.224998,38.349998,36.900002,37.150002,27.570164,168744.0
2002-10-25,36.5,37.087502,36.275002,36.387501,27.004293,172296.0
2002-10-28,36.125,36.5,35.549999,35.849998,26.605402,134504.0
2002-10-29,35.75,36.450001,35.549999,36.162498,26.837305,143024.0
2002-10-30,36.5,37.4375,36.25,36.775002,27.291872,164320.0
2002-10-31,37.0,37.5,36.799999,37.349998,27.718588,118928.0
2002-11-01,37.525002,38.150002,36.762501,36.962502,27.431007,108792.0
2002-11-04,37.5,37.5,36.950001,37.237499,27.635101,56560.0
2002-11-05,36.887501,37.325001,36.599998,36.837502,27.338251,70288.0
2002-11-06,36.837502,36.837502,36.837502,36.837502,27.338251,0.0
2002-11-07,37.5,39.5,37.5,37.974998,28.182419,204880.0
2002-11-08,37.25,37.737499,37.025002,37.3125,27.69076,77664.0
2002-11-11,37.5,37.5,36.674999,36.75,27.273312,66568.0
2002-11-12,36.5,37.5,36.5,36.9375,27.412466,106864.0
2002-11-13,37.125,37.224998,36.424999,36.625,27.18055,106264.0
2002-11-14,37.200001,37.900002,36.637501,37.125,27.551615,211856.0
2002-11-15,37.950001,38.162498,37.5,37.924999,28.145306,154144.0
2002-11-18,38.25,38.737499,37.837502,38.3125,28.432884,217672.0
2002-11-19,38.3125,38.3125,38.3125,38.3125,28.432884,0.0
2002-11-20,38.25,39.875,38.25,39.575001,29.369827,406128.0
2002-11-21,40.3125,44.724998,40.3125,43.0,31.91164,2664024.0
2002-11-22,41.387501,45.174999,41.387501,42.337502,31.419973,1184016.0
2002-11-25,42.75,43.200001,41.75,42.262501,31.364332,428920.0
2002-11-26,42.625,43.450001,41.775002,42.012501,31.178787,367496.0
2002-11-27,42.75,42.75,40.887501,41.125,30.520124,301128.0
2002-11-28,41.525002,43.724998,41.512501,42.799999,31.763205,447680.0
2002-11-29,42.799999,42.799999,42.799999,42.799999,31.763205,0.0
2002-12-02,44.875,49.0,44.474998,47.387501,35.167732,1388680.0
2002-12-03,48.5,52.424999,46.775002,50.099998,37.18074,4082608.0
2002-12-04,49.224998,51.1875,47.762501,48.424999,35.937702,2594928.0
2002-12-05,48.125,51.112499,48.125,49.650002,36.846806,1720264.0
2002-12-06,50.5,51.674999,49.637501,50.950001,37.811573,1139968.0
2002-12-09,50.75,51.724998,48.025002,48.5,35.993355,975768.0
2002-12-10,47.625,50.5,47.275002,49.612499,36.818966,837808.0
2002-12-11,51.0,53.987499,50.75,51.950001,38.553699,3286400.0
2002-12-12,52.0,54.0,52.0,52.375,38.869106,2568024.0
2002-12-13,53.0,53.674999,52.275002,52.587502,39.02681,1112288.0
2002-12-16,53.25,53.674999,50.025002,50.325001,37.347752,1231456.0
2002-12-17,51.275002,51.275002,48.900002,49.400002,36.661278,855656.0
2002-12-18,49.950001,50.724998,48.599998,48.9375,36.31802,618096.0
2002-12-19,49.924999,54.375,49.375,53.075001,39.388588,3770256.0
2002-12-20,53.75,54.950001,52.5,53.512501,39.71328,2952072.0
2002-12-23,53.75,53.762501,51.25,51.612499,38.30323,1277744.0
2002-12-24,51.75,54.0,51.5625,53.737499,39.880245,1729840.0
2002-12-25,53.737499,53.737499,53.737499,53.737499,39.880245,0.0
2002-12-26,54.150002,55.950001,53.25,55.262501,41.012024,2894448.0
2002-12-27,55.650002,55.875,53.787498,54.012501,40.084335,956984.0
2002-12-30,54.0,57.724998,52.762501,57.150002,42.412796,4253744.0
2002-12-31,57.525002,61.087502,56.0,60.112499,44.611343,9998480.0
2003-01-01,59.987499,61.974998,59.987499,61.087502,45.334927,6027072.0
2003-01-02,61.525002,62.924999,57.912498,58.299999,43.266243,5325328.0
2003-01-03,60.0,61.049999,58.5,59.012501,43.795013,4198040.0
2003-01-06,59.924999,60.1875,56.875,57.262501,42.496288,4121520.0
2003-01-07,58.0,58.5,56.0625,56.599998,42.004604,2650800.0
